query_id,disabled_rules,hash,min(walltime)
1,CollapseProject,1236421054,2157723
2,None,374879493,2230499
3,None,571187194,2908048
4,"ConstantFolding,RemoveRedundantAliases",2087327385,13417069
5,"CombineUnions,RemoveNoopOperators",780463433,2548855
6,"ConstantFolding,EliminateOuterJoin",1714592638,1343086
7,None,1102576244,3961915
8,ConstantFolding,1670007793,1686147
9,None,1932192668,3100823
10,RemoveNoopOperators,1278128123,2929290
11,"PruneFilters,RemoveNoopOperators,RemoveRedundantAliases",714149544,4283421
12,ConstantFolding,1255057759,820736
13,ReorderJoin,1630950859,4140924
14,"FoldablePropagation,RemoveNoopOperators",1694103397,10027856
15,"CombineUnions,FoldablePropagation,RemoveNoopOperators",1245133767,8415568
16,ConstantFolding,364449709,3755320
17,"ConstantFolding,EliminateLimits",523603709,4128515
18,None,1748832904,4423424
19,RemoveRedundantAliases,127749167,2562526
20,None,472073473,9627829
21,ConstantFolding,1226257632,2314157
22,RemoveNoopOperators,730521121,1641525
23,None,1444598567,15580462
24,EliminateLimits,1798745406,11750385
25,RemoveNoopOperators,407959234,14355336
26,None,1463300508,7292432
27,None,1610075651,9476959
28,None,388463347,3922524
29,None,8137630,3040142
30,None,697247825,2034901
31,"EliminateLimits,RemoveNoopOperators",1261159589,3011491
32,None,2011655896,3628654
33,EliminateOuterJoin,1690673577,2898846
34,"RemoveNoopOperators,RemoveRedundantAliases",1593234743,2838976
35,"ConstantFolding,EliminateLimits",1531002998,640885
36,"OptimizeIn,RemoveNoopOperators",167299270,1237835
37,OptimizeIn,696966290,1001024
38,None,19107906,4039205
39,"OptimizeIn,UnwrapCastInBinaryComparison",768424462,898761
40,ConstantFolding,979149286,1502590
41,EliminateLimits,1092740284,3215229
42,"RemoveNoopOperators,RemoveRedundantAliases",233108270,4843537
43,RemoveNoopOperators,2125485659,4634340
44,ConstantFolding,113911721,4049369
45,"ColumnPruning,EliminateOuterJoin",574042783,312636
46,None,1913574921,1284742
47,ConstantFolding,748350119,892107
48,"CollapseProject,RemoveNoopOperators",1828630130,1315601
49,None,759728963,3011466
50,OptimizeIn,1580119230,1888341
51,"CollapseProject,RemoveRedundantAliases",227798376,2846778
52,None,1285386679,3549689
53,CombineUnions,1521122462,3186925
54,None,1109224871,5794196
55,RemoveNoopOperators,947670216,4256613
56,None,1795577185,1711597
57,ConstantFolding,1409283673,842356
58,"CollapseProject,ConstantFolding",2146980804,2696698
59,None,364253929,1759444
60,"ConstantFolding,RemoveNoopOperators",138874669,1277183
61,"CollapseProject,RemoveRedundantAliases",1150240510,1796516
62,ConstantFolding,536556158,2165580
63,None,797624575,5859138
64,"ConstantFolding,RemoveNoopOperators",63006881,1328719
65,"ConstantFolding,EliminateLimits",566642876,336679
66,None,1460647542,1811690
67,OptimizeIn,554496636,773331
68,ConstantFolding,949510113,14268297
69,CollapseProject,830554677,4577271
70,ConstantFolding,1535967887,3245018
71,"CollapseProject,RemoveRedundantAliases",1415111171,75460185
72,None,1794161922,3807288
73,RemoveNoopOperators,1143098946,2993972
74,"CollapseProject,RemoveRedundantAliases,UnwrapCastInBinaryComparison",1228850812,1060289
75,CombineUnions,1314661354,2946641
76,None,1508479246,69219843
77,OptimizeIn,211761176,730751
78,"RemoveNoopOperators,ReorderJoin",1239107483,4503342
79,ConstantFolding,8196528,8050214
80,CombineUnions,1901240764,1076791
81,"ConstantFolding,PushProjectionThroughUnion,RemoveNoopOperators",473443250,1461848
82,ConstantFolding,2103995618,14531101
83,None,611255745,2727789
84,"CollapseProject,RemoveNoopOperators",171338979,6711441
85,CollapseProject,1885623789,2438059
86,ConstantFolding,1684700096,2464213
87,ConstantFolding,700640751,1431928
88,None,59212994,1914462
89,"BooleanSimplification,ConstantFolding",2146247594,2127897
90,"RemoveNoopOperators,UnwrapCastInBinaryComparison",654088314,642934
91,None,531470908,6392559
92,RemoveNoopOperators,652083726,1385541
93,"ConstantFolding,OptimizeIn",1005050121,985680
94,EliminateLimits,1968486105,511221
95,ConstantFolding,2041977103,764623
96,"ConstantFolding,EliminateLimits,EliminateOuterJoin",2047919647,526677
97,EliminateOuterJoin,1071234183,1324936
98,"ConstantFolding,EliminateLimits",1903440580,2323679
99,ConstantFolding,1263337456,7470169
100,EliminateLimits,1670688511,374089
101,EliminateLimits,1255750137,2678607
102,ConstantFolding,1954275398,3503118
103,None,1901343962,2394152
